strain_ID	species	strain_type	active_substance	sampling_year	nb_day	dose	perc_croiss
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0	100
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.001	103.39
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.01	100
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.1	27.12
18-0286-003	F. amygdali	individual	carbendazim	2018	7	1	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	10	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	100	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0	100
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.001	104.23
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.01	104.23
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.1	18.31
18-0286-027	F. amygdali	individual	carbendazim	2018	7	1	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	10	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	100	0
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0	100
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.001	100
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.003	100
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.01	100
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.03	93.24
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.1	93.24
16-0219-005	F. amygdali	individual	carbendazim	2016	7	0.3	93.24
16-0219-005	F. amygdali	individual	carbendazim	2016	7	1	100
16-0219-005	F. amygdali	individual	carbendazim	2016	7	3	86.49
16-0219-005	F. amygdali	individual	carbendazim	2016	7	10	70.27
16-0219-005	F. amygdali	individual	carbendazim	2016	7	30	45.95
16-0219-005	F. amygdali	individual	carbendazim	2016	7	100	45.95
16-0219-005	F. amygdali	individual	carbendazim	2016	7	300	50
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0	100
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.001	100
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.003	100
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.01	93.24
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.03	93.24
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.1	95.95
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	0.3	93.24
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	1	95.95
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	3	97.3
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	10	83.78
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	30	43.24
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	100	32.43
16-0219-005	F. amygdali	individual	thiophanate-methyl	2016	7	300	32.43
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0	100
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.001	103.23
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.003	103.23
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.01	95.16
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.03	96.77
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.1	95.16
16-0219-025	F. amygdali	individual	carbendazim	2016	7	0.3	87.1
16-0219-025	F. amygdali	individual	carbendazim	2016	7	1	95.16
16-0219-025	F. amygdali	individual	carbendazim	2016	7	3	87.1
16-0219-025	F. amygdali	individual	carbendazim	2016	7	10	54.84
16-0219-025	F. amygdali	individual	carbendazim	2016	7	30	51.61
16-0219-025	F. amygdali	individual	carbendazim	2016	7	100	51.61
16-0219-025	F. amygdali	individual	carbendazim	2016	7	300	51.61
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0	100
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.001	103.23
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.003	101.61
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.01	100
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.03	103.23
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.1	100
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	0.3	100
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	1	103.23
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	3	96.77
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	10	48.39
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	30	38.71
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	100	30.65
16-0219-025	F. amygdali	individual	thiophanate-methyl	2016	7	300	32.26
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0	100
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.001	100
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.003	100
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.01	93.24
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.03	32.43
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.1	1.35
17-0193-001	F. amygdali	individual	carbendazim	2017	7	0.3	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	1	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	3	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	10	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	30	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	100	0
17-0193-001	F. amygdali	individual	carbendazim	2017	7	300	0
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0	100
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.001	102.7
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.003	100
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.01	95.95
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.03	100
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.1	93.24
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	0.3	18.92
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	1	1.35
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	3	0
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	10	0
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	30	0
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	100	0
17-0193-001	F. amygdali	individual	thiophanate-methyl	2017	7	300	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0	100
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.001	97.37
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.003	94.74
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.01	90.79
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.03	22.37
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.1	3.95
17-0193-002	F. amygdali	individual	carbendazim	2017	7	0.3	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	1	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	3	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	10	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	30	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	100	0
17-0193-002	F. amygdali	individual	carbendazim	2017	7	300	0
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0	100
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.001	97.37
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.003	97.37
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.01	97.37
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.03	100
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.1	89.47
