strain_ID	species	strain_type	active_substance	sampling_year	nb_day	dose	perc_croiss
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0	100
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.001	98.5915493
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.003	92.95774648
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.01	98.5915493
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.03	87.32394366
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.1	5.633802817
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	0.3	7.042253521
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	1	5.633802817
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	3	2.816901408
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	10	4.225352113
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	30	4.225352113
14-0020-10_D	F. amygdali	individual	carbendazim	2014	6	100	2.816901408
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0	100
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.001	88.88888889
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.003	88.88888889
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.01	97.22222222
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.03	86.11111111
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.1	6.944444444
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	0.3	5.555555556
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	1	5.555555556
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	3	5.555555556
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	10	5.555555556
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	30	5.555555556
14-0020-10_E	F. amygdali	individual	carbendazim	2014	6	100	5.555555556
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0	100
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.001	101.5384615
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.003	106.1538462
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.01	103.0769231
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.03	98.46153846
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.1	6.153846154
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	0.3	3.076923077
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	1	3.076923077
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	3	3.076923077
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	10	3.076923077
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	30	3.076923077
14-0020-10_F	F. amygdali	individual	carbendazim	2014	6	100	3.076923077
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0	100
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.001	102.8571429
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.003	95.71428571
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.01	100
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.03	88.57142857
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.1	4.285714286
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	0.3	4.285714286
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	1	1.428571429
14-0020-10_G	F. amygdali	individual	carbendazim	2014	6	3	0
